Designator,Mid X,Mid Y,Rotation,Layer
C1,153.162,-106.934,180.0,top
C10,160.528,-84.1745,270.0,top
C11,134.62,-94.3875,270.0,top
C12,132.842,-94.3875,270.0,top
C13,124.968,-95.9115,270.0,top
C14,122.936,-95.9115,270.0,top
C15,137.033,-96.647,90.0,top
C16,127.889,-84.455,0.0,top
C2,145.288,-105.5105,90.0,top
C3,160.528,-93.98,180.0,top
C4,148.4365,-102.87,180.0,top
C5,146.812,-76.8615,270.0,top
C6,153.2625,-96.012,0.0,top
C7,156.464,-91.948,0.0,top
C8,153.924,-88.392,270.0,top
C9,158.496,-88.392,270.0,top
D1,148.59,-110.438,270.0,top
J1,157.44,-112.58,180.0,top
Q1,157.988,-77.724,180.0,top
Q2,152.908,-77.724,270.0,top
R1,148.4395,-104.648,180.0,top
R10,145.288,-101.9575,270.0,top
R11,160.274,-101.9575,270.0,top
R12,149.2015,-96.012,0.0,top
R13,149.352,-77.8275,270.0,top
R14,147.574,-88.392,90.0,top
R15,151.2805,-91.694,0.0,top
R16,148.4865,-85.217,180.0,top
R17,148.4865,-83.312,180.0,top
R18,152.654,-85.217,0.0,top
R19,152.654,-83.312,180.0,top
R2,155.956,-105.7675,270.0,top
R20,156.464,-88.392,270.0,top
R21,158.496,-84.1775,270.0,top
R22,156.464,-84.1775,90.0,top
R3,153.67,-103.7355,270.0,top
R4,151.892,-103.7355,90.0,top
R5,152.4,-99.06,90.0,top
R6,157.48,-102.87,180.0,top
R7,154.305,-99.06,90.0,top
R8,154.94,-74.676,0.0,top
R9,150.876,-74.676,180.0,top
U1,158.75,-105.41,90.0,top
U2,149.225,-99.06,0.0,top
U3,150.749,-88.392,90.0,top
U5,128.905,-95.123,180.0,top
