Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,47n,C1622
"C11, C13, C15, C16, C17, C3, C5, C6, C7",0402,9,100n,C307331
"C12, C14",0603,2,10u,C96446
"C19, C20",1210,2,100u,C15008
"C2, C4, C8, C9",0603,4,100p,C14858
D1,SOIC-4_4.55x3.7mm_P2.54mm,1,MB10S,C2488
D2,D_SMA,1,SS14,C2480
J1,steckklemme2x1_1,1,PlugIn_Terminal_01x02,C8387
J2,PinHeader_2x10_P2.54mm_Vertical,1,ESP_left,C7501280
J3,PinHeader_2x10_P2.54mm_Vertical,1,ESP_right,C7501280
J5,nofoorprint,1,Plugged into C8387,C8466
Q1,SOT-23,1,MMBT5401,C8326
Q2,SOT-23,1,MMBT2222A,C8512
"R1, R20",0603,2,130k,C22795
"R10, R15, R22, R33, R6",0603,5,18k,C25810
"R11, R23, R24",0603,3,10k,C25804
"R12, R25",0603,2,2k4,C22940
"R13, R29, R31, R8",0402,4,10k,C25744
R14,0603,1,1k,C21190
"R16, R17, R5, R7",0603,4,5k1,C23186
"R18, R19, R3, R4",0603,4,82k,C23254
R2,0603,1,22k,C31850
"R26, R27",0603,2,4k7,C23162
"R28, R30, R9",0603,3,47k,C25819
R32,0603,1,100k,C25803
R34,0603,1,0,C21189
U1,SOT-353_SC-70-5,1,TLV9351,C4367425
"U2, U3",SOT-23-5,2,LMV321,C7972
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,C7955
