Designator,Mid X,Mid Y,Rotation,Layer
C1,131.826,-99.187,0.0,top
C11,135.89,-96.6216,270.0,top
C12,137.0584,-93.2688,270.0,top
C13,130.683,-106.68,0.0,top
C14,127.1524,-81.026,270.0,top
C15,125.603,-101.092,0.0,top
C16,119.507,-101.4897,270.0,top
C17,119.888,-84.5312,270.0,top
C19,130.683,-109.22,180.0,top
C2,127.889,-91.44,90.0,top
C20,125.603,-108.204,0.0,top
C3,134.8887,-96.6216,90.0,top
C4,131.8861,-90.3243,180.0,top
C5,136.0424,-83.2191,90.0,top
C6,129.1937,-88.3852,90.0,top
C7,125.3998,-92.329,180.0,top
C8,124.5889,-98.1975,270.0,top
C9,126.0723,-98.2174,270.0,top
D1,131.7244,-103.759,0.0,top
D2,122.682,-104.648,180.0,top
J1,138.176,-109.728,90.0,top
J2,115.57,-91.69399999999999,270.0,top
J3,140.97,-91.69399999999999,270.0,top
J5,153.543,-109.3978,0.0,top
Q1,129.9851,-81.2673,0.0,top
Q2,133.7466,-81.2013,90.0,top
R1,129.3876,-91.44,90.0,top
R10,127.889,-88.138,270.0,top
R11,133.8388,-93.3954,270.0,top
R12,131.8372,-85.4475,0.0,top
R13,136.017191,-80.84349,270.0,top
R14,119.5597,-98.1975,90.0,top
R15,121.9575,-101.0114,0.0,top
R16,120.4741,-95.3538,180.0,top
R17,120.4741,-93.8806,180.0,top
R18,123.7761,-95.3538,0.0,top
R19,123.7761,-93.8806,180.0,top
R2,130.8755,-96.6978,90.0,top
R20,127.5823,-98.1964,270.0,top
R22,124.1825,-80.01,180.0,top
R23,125.4506,-90.8558,180.0,top
R24,122.1232,-92.3544,180.0,top
R25,119.6848,-90.8323,270.0,top
R26,128.778,-84.6855,90.0,top
R27,127.3048,-84.6836,90.0,top
R28,122.1251,-90.8812,0.0,top
R29,119.888,-87.9856,270.0,top
R3,136.144,-89.6639,270.0,top
R30,124.206,-81.596,0.0,top
R31,120.65,-81.596,180.0,top
R32,130.048,-100.711,180.0,top
R33,130.867,-93.3954,270.0,top
R34,127.1759,-94.1832,180.0,top
R4,134.62,-89.6639,90.0,top
R5,136.144,-86.3619,90.0,top
R6,132.3656,-93.3954,270.0,top
R7,134.62,-86.3619,90.0,top
R8,130.9116,-83.7184,0.0,top
R9,133.7401,-83.9343,0.0,top
U1,133.011,-96.647,90.0,top
U2,131.8061,-87.8859,0.0,top
U3,122.0743,-98.1975,90.0,top
U6,123.698,-86.422,0.0,top
